HUD frame time nsec:,13277000

Range Index,Elapsed Time, First Event,Last Event
0,36736,8,8
1,17760,16,16
2,7040,23,23
3,9984,30,30
4,6944,37,37
5,33536,44,44
6,13760,51,51
7,8768,58,58
8,23488,65,65
9,75968,72,72
10,8832,79,79
11,7456,86,86
12,10784,93,93
13,8608,100,100
14,9440,107,107
15,8704,114,114
16,9632,121,121
17,9056,128,128
18,21024,135,135
19,6368,142,142
20,105568,149,149
21,12000,156,156
22,10912,163,163
23,10304,170,170
24,10208,177,177
25,9888,184,184
26,9312,191,191
27,9568,198,198
28,10080,205,205
29,10656,212,212
30,9824,219,219
31,9408,226,226
32,9408,233,233
33,9504,240,240
34,10048,247,247
35,10048,254,254
36,32064,261,261
37,13024,268,268
38,8000,275,275
39,6368,282,282
40,6560,289,289
41,6336,296,296
42,6400,303,303
43,6368,310,310
44,6560,317,317
45,6304,324,324
46,6880,331,331
47,6784,338,338
48,8736,345,345
49,8384,352,352
50,8768,359,359
51,8384,366,366
52,9696,373,373
53,8384,380,380
54,6944,387,387
55,6496,394,394
56,8736,401,401
57,8256,408,408
58,8448,415,415
59,8672,422,422
60,8640,429,429
61,6624,436,436
62,8864,443,443
63,8736,450,450
64,8224,457,457
65,8320,464,464
66,8960,471,471
67,41440,478,478
68,28928,485,485
69,8544,492,492
70,6688,499,499
71,7616,506,506
72,7584,513,513
73,6656,520,520
74,7808,527,527
75,7136,534,534
76,7520,541,541
77,7584,548,548
78,12192,555,555
79,6656,562,562
80,6464,569,569
81,6848,576,576
82,6560,583,583
83,7520,590,590
84,7904,597,597
85,7904,604,604
86,8256,611,611
87,7712,618,618
88,7520,625,625
89,7232,632,632
90,6912,639,639
91,7168,646,646
92,7168,653,653
93,7456,660,660
94,7360,667,667
95,6784,674,674
96,6848,681,681
97,7456,688,688
98,7232,695,695
99,7552,702,702
100,7360,709,709
101,7680,716,716
102,7616,723,723
103,7200,730,730
104,7392,737,737
105,7552,744,744
106,7488,751,751
107,8224,758,758
108,7680,765,765
109,7648,772,772
110,7680,779,779
111,7872,786,786
112,7424,793,793
