HUD frame time nsec:,18107000

Range Index,Elapsed Time, First Event,Last Event
0,37952,8,8
1,18432,16,16
2,7200,23,23
3,9248,30,30
4,7104,37,37
5,34720,44,44
6,13696,51,51
7,8640,58,58
8,23072,65,65
9,75168,72,72
10,8672,79,79
11,7360,86,86
12,7680,93,93
13,7776,100,100
14,8960,107,107
15,7968,114,114
16,8896,121,121
17,9728,128,128
18,20736,135,135
19,6656,142,142
20,109088,149,149
21,12832,156,156
22,10880,163,163
23,10912,170,170
24,9856,177,177
25,9664,184,184
26,9280,191,191
27,9600,198,198
28,10496,205,205
29,10144,212,212
30,9792,219,219
31,9536,226,226
32,9696,233,233
33,9664,240,240
34,10048,247,247
35,10304,254,254
36,31488,261,261
37,12704,268,268
38,7392,275,275
39,6304,282,282
40,6368,289,289
41,6368,296,296
42,6624,303,303
43,6400,310,310
44,6368,317,317
45,6432,324,324
46,6272,331,331
47,6368,338,338
48,8832,345,345
49,8416,352,352
50,9408,359,359
51,8320,366,366
52,9376,373,373
53,8416,380,380
54,6624,387,387
55,6528,394,394
56,8992,401,401
57,8512,408,408
58,8512,415,415
59,8736,422,422
60,8384,429,429
61,9120,436,436
62,8416,443,443
63,8512,450,450
64,8320,457,457
65,8448,464,464
66,9088,471,471
67,39488,478,478
68,28256,485,485
69,7712,492,492
70,6784,499,499
71,7520,506,506
72,7680,513,513
73,6720,520,520
74,7936,527,527
75,7424,534,534
76,7584,541,541
77,7232,548,548
78,12096,555,555
79,6528,562,562
80,7392,569,569
81,6880,576,576
82,6624,583,583
83,7424,590,590
84,7776,597,597
85,7360,604,604
86,7552,611,611
87,7488,618,618
88,7680,625,625
89,6624,632,632
90,6912,639,639
91,6816,646,646
92,7136,653,653
93,7232,660,660
94,7040,667,667
95,6752,674,674
96,6624,681,681
97,7104,688,688
98,6560,695,695
99,7168,702,702
100,6976,709,709
101,7776,716,716
102,7232,723,723
103,6944,730,730
104,7744,737,737
105,7040,744,744
106,7296,751,751
107,7232,758,758
108,6880,765,765
109,7232,772,772
110,7072,779,779
111,7680,786,786
112,6944,793,793
113,6976,800,800
114,7680,807,807
115,7072,814,814
116,7040,821,821
117,7488,828,828
118,6848,835,835
119,12352,842,842
120,6432,849,849
121,8128,856,856
122,9760,863,863
123,9984,870,870
124,8576,877,877
125,8864,884,884
126,20320,891,891
127,16256,898,898
128,10560,905,905
129,7776,912,912
130,8096,919,919
131,7424,926,926
132,8352,933,933
133,7616,940,940
134,7776,947,947
135,7456,954,954
136,7680,961,961
137,9248,968,968
138,7424,975,975
139,10016,982,982
140,8064,989,989
141,7776,996,996
142,7584,1003,1003
143,7552,1010,1010
144,7168,1017,1017
145,7680,1024,1024
146,7776,1031,1031
147,7552,1038,1038
148,8960,1045,1045
149,7328,1052,1052
150,10112,1059,1059
151,7712,1066,1066
152,7392,1073,1073
153,7264,1080,1080
154,7456,1087,1087
155,7648,1094,1094
156,7840,1101,1101
157,7776,1108,1108
158,7456,1115,1115
159,8864,1122,1122
160,7904,1129,1129
161,10848,1136,1136
162,7488,1143,1143
163,7520,1150,1150
164,7744,1157,1157
165,8096,1164,1164
166,7360,1171,1171
167,7904,1178,1178
168,7456,1185,1185
169,7744,1192,1192
170,8736,1199,1199
171,7680,1206,1206
172,10016,1213,1213
173,7552,1220,1220
174,7872,1227,1227
175,7488,1234,1234
176,7584,1241,1241
177,7616,1248,1248
178,7904,1255,1255
179,7520,1262,1262
180,8064,1269,1269
181,9152,1276,1276
182,8288,1283,1283
183,10144,1290,1290
184,7808,1297,1297
185,8096,1304,1304
186,8000,1311,1311
187,8320,1318,1318
188,8160,1325,1325
189,7936,1332,1332
190,7712,1339,1339
191,8064,1346,1346
192,9152,1353,1353
193,7616,1360,1360
194,8288,1367,1367
195,7488,1374,1374
196,7424,1381,1381
197,7296,1388,1388
198,7520,1395,1395
199,7040,1402,1402
200,8352,1409,1409
201,7104,1416,1416
202,7776,1423,1423
203,7584,1430,1430
204,7200,1437,1437
205,8128,1444,1444
206,7456,1451,1451
207,7488,1458,1458
208,7200,1465,1465
209,8064,1472,1472
210,7584,1479,1479
211,7360,1486,1486
212,7296,1493,1493
213,7616,1500,1500
214,7424,1507,1507
215,7360,1514,1514
216,8224,1521,1521
217,7328,1528,1528
218,7840,1535,1535
219,7168,1542,1542
220,7488,1549,1549
221,7424,1556,1556
222,7552,1563,1563
223,7040,1570,1570
224,7520,1577,1577
225,7520,1584,1584
226,25152,1591,1591
227,8224,1598,1598
228,7456,1605,1605
229,7168,1612,1612
230,6976,1619,1619
231,7104,1626,1626
232,6720,1633,1633
233,6880,1640,1640
234,7072,1647,1647
235,7328,1654,1654
236,7168,1661,1661
237,6976,1668,1668
238,7904,1675,1675
239,6848,1682,1682
240,7488,1689,1689
241,7328,1696,1696
242,7040,1703,1703
243,7200,1710,1710
244,6848,1717,1717
245,6880,1724,1724
246,7200,1731,1731
247,7168,1738,1738
248,6976,1745,1745
249,10176,1752,1752
250,7424,1759,1759
251,462176,1766,1766
252,8544,1773,1773
253,8320,1780,1780
254,7968,1787,1787
255,7968,1794,1794
256,7648,1801,1801
257,7712,1808,1808
258,9856,1815,1815
259,8224,1822,1822
260,7328,1829,1829
261,45472,1836,1836
262,10272,1843,1843
263,8224,1850,1850
264,7776,1857,1857
265,8288,1864,1864
266,7520,1871,1871
267,8640,1878,1878
268,7712,1885,1885
269,8640,1892,1892
270,8992,1899,1899
271,6944,1906,1906
272,7040,1913,1913
273,8736,1920,1920
274,6976,1927,1927
275,9024,1934,1934
276,6912,1941,1941
277,8608,1948,1948
278,11872,1955,1955
279,10048,1962,1962
280,9472,1969,1969
281,11488,1976,1976
