HUD frame time nsec:,12853000

Range Index,Elapsed Time, First Event,Last Event
0,36832,8,8
1,13248,16,16
2,6976,23,23
3,7648,30,30
4,7296,37,37
5,30912,44,44
6,13376,51,51
7,9792,58,58
8,23744,65,65
9,69376,72,72
10,8384,79,79
11,6752,86,86
12,6688,93,93
13,6592,100,100
14,6816,107,107
15,6624,114,114
16,6848,121,121
17,6688,128,128
18,18368,135,135
19,6560,142,142
20,98816,149,149
21,12384,156,156
22,11008,163,163
23,10496,170,170
24,9632,177,177
25,9280,184,184
26,9280,191,191
27,9344,198,198
28,10272,205,205
29,10080,212,212
30,9440,219,219
31,9568,226,226
32,9408,233,233
33,10016,240,240
34,9824,247,247
35,9664,254,254
36,30176,261,261
37,13312,268,268
38,6720,275,275
39,6400,282,282
40,6720,289,289
41,6720,296,296
42,6528,303,303
43,6368,310,310
44,6304,317,317
45,6432,324,324
46,6464,331,331
47,6432,338,338
48,9120,345,345
49,8480,352,352
50,9120,359,359
51,8352,366,366
52,8704,373,373
53,8512,380,380
54,6368,387,387
55,6464,394,394
56,9056,401,401
57,8544,408,408
58,8064,415,415
59,8128,422,422
60,8736,429,429
61,6464,436,436
62,9056,443,443
63,8480,450,450
64,7968,457,457
65,8384,464,464
66,8704,471,471
67,38784,478,478
68,27808,485,485
69,7808,492,492
70,7936,499,499
71,6432,506,506
72,7776,513,513
73,7744,520,520
74,8096,527,527
75,8512,534,534
76,6304,541,541
77,7232,548,548
78,11648,555,555
79,6752,562,562
80,6560,569,569
81,6528,576,576
82,6432,583,583
83,7296,590,590
84,7488,597,597
85,7424,604,604
86,7392,611,611
87,7392,618,618
88,7264,625,625
89,6592,632,632
90,6528,639,639
91,6816,646,646
92,6752,653,653
93,7040,660,660
94,7072,667,667
95,6592,674,674
96,6336,681,681
97,6592,688,688
98,6880,695,695
99,7392,702,702
100,6560,709,709
101,6400,716,716
102,6656,723,723
103,6464,730,730
104,6624,737,737
105,6688,744,744
106,6528,751,751
107,6624,758,758
108,6720,765,765
109,6464,772,772
110,6624,779,779
111,6944,786,786
112,6880,793,793
113,6848,800,800
114,6592,807,807
115,6752,814,814
116,6432,821,821
117,6752,828,828
118,6688,835,835
119,6688,842,842
120,6368,849,849
121,6368,856,856
122,6432,863,863
123,6976,870,870
124,6528,877,877
125,8384,884,884
126,20000,891,891
127,15040,898,898
128,9760,905,905
129,7488,912,912
130,7616,919,919
131,7264,926,926
132,7680,933,933
133,7360,940,940
134,7872,947,947
135,7424,954,954
136,7648,961,961
137,8448,968,968
138,7328,975,975
139,10080,982,982
140,7680,989,989
141,7808,996,996
142,7264,1003,1003
143,8416,1010,1010
144,7488,1017,1017
145,7904,1024,1024
146,7392,1031,1031
147,7552,1038,1038
148,8608,1045,1045
149,7360,1052,1052
150,10304,1059,1059
151,7648,1066,1066
152,8064,1073,1073
153,7616,1080,1080
154,7968,1087,1087
