HUD frame time nsec:,16659000

Range Index,Elapsed Time, First Event,Last Event
0,27072,3,3
1,1216,23,23
2,2272,28,28
3,672,33,33
4,544,38,38
5,512,43,43
6,544,48,48
7,512,53,53
8,672,58,58
9,576,63,63
10,928,68,68
11,512,73,73
12,2272,78,78
13,2496,83,83
14,1440,88,88
15,800,93,93
16,896,98,98
17,512,103,103
18,608,108,108
19,30880,113,113
20,30720,118,118
21,15392,123,123
22,11616,128,128
23,16448,133,133
24,5216,138,138
25,4928,143,143
26,7296,148,148
27,5824,153,153
28,512,158,158
29,1056,163,163
30,544,168,168
31,928,173,173
32,512,178,178
33,544,183,183
34,512,188,188
35,512,193,193
36,42816,198,198
37,480,203,203
38,512,208,208
39,512,213,213
40,1280,218,218
41,27456,223,223
42,544,228,228
43,512,233,233
44,544,238,238
45,640,243,243
46,576,248,248
47,576,253,253
48,512,258,258
49,512,263,263
50,544,268,268
51,11200,273,273
52,768,278,278
53,608,283,283
54,544,288,288
55,544,293,293
56,512,298,298
57,544,303,303
58,1504,308,308
59,512,313,313
60,512,318,318
61,576,323,323
62,1440,328,328
63,576,333,333
64,512,338,338
65,14304,343,343
66,3264,348,348
67,512,353,353
68,512,358,358
69,544,363,363
70,184864,368,368
71,512,373,373
72,672,378,378
73,512,383,383
74,544,388,388
75,544,393,393
76,1888,398,398
77,544,403,403
78,1888,408,408
79,512,413,413
80,512,418,418
81,512,423,423
82,24608,426,426
83,1600,446,446
84,2112,451,451
85,544,456,456
86,576,461,461
87,576,466,466
88,544,471,471
89,544,476,476
90,544,481,481
91,512,486,486
92,544,491,491
93,512,496,496
94,2752,501,501
95,512,506,506
96,512,511,511
97,736,516,516
98,768,521,521
99,832,526,526
100,512,531,531
101,32928,536,536
102,27616,541,541
103,15360,546,546
104,4864,551,551
105,15488,556,556
106,5152,561,561
107,11456,566,566
108,12608,571,571
109,5280,576,576
110,544,581,581
111,576,586,586
112,480,591,591
113,672,596,596
114,512,601,601
115,800,606,606
116,608,611,611
117,544,616,616
118,35168,621,621
119,672,626,626
120,512,631,631
121,512,636,636
122,1344,641,641
123,24864,646,646
124,512,651,651
125,544,656,656
126,512,661,661
127,2304,666,666
128,512,671,671
129,512,676,676
130,544,681,681
131,544,686,686
132,512,691,691
133,7136,696,696
134,512,701,701
135,512,706,706
136,544,711,711
137,576,716,716
138,544,721,721
139,544,726,726
140,512,731,731
141,576,736,736
142,512,741,741
143,512,746,746
144,544,751,751
145,544,756,756
146,544,761,761
