HUD frame time nsec:,17922000

Range Index,Elapsed Time, First Event,Last Event
0,38336,8,8
1,18976,16,16
2,7104,23,23
3,9216,30,30
4,7040,37,37
5,34560,44,44
6,13728,51,51
7,8576,58,58
8,23616,65,65
9,76000,72,72
10,9184,79,79
11,7232,86,86
12,7520,93,93
13,7872,100,100
14,8992,107,107
15,8064,114,114
16,9184,121,121
17,9248,128,128
18,20416,135,135
19,6464,142,142
20,108608,149,149
21,12000,156,156
22,11008,163,163
23,10752,170,170
24,9760,177,177
25,9728,184,184
26,9248,191,191
27,9440,198,198
28,10048,205,205
29,10240,212,212
30,10208,219,219
31,9408,226,226
32,9568,233,233
33,9376,240,240
34,9984,247,247
35,10304,254,254
36,30720,261,261
37,12736,268,268
38,7424,275,275
39,6496,282,282
40,6336,289,289
41,6272,296,296
42,6528,303,303
43,6368,310,310
44,6432,317,317
45,6464,324,324
46,6432,331,331
47,6592,338,338
48,8768,345,345
49,8832,352,352
50,9088,359,359
51,8544,366,366
52,9088,373,373
53,8864,380,380
54,6656,387,387
55,6464,394,394
56,8864,401,401
57,8480,408,408
58,7968,415,415
59,8800,422,422
60,8736,429,429
61,6624,436,436
62,8736,443,443
63,8288,450,450
64,8160,457,457
65,8608,464,464
66,9216,471,471
67,40576,478,478
68,28160,485,485
69,8256,492,492
70,6976,499,499
71,7776,506,506
72,7392,513,513
73,7008,520,520
74,7680,527,527
75,7424,534,534
76,7488,541,541
77,7392,548,548
78,12320,555,555
79,6560,562,562
80,6912,569,569
81,6880,576,576
82,6720,583,583
83,7680,590,590
84,8352,597,597
85,7488,604,604
86,7424,611,611
87,7936,618,618
88,7264,625,625
89,6880,632,632
90,6688,639,639
91,6688,646,646
92,7008,653,653
93,6816,660,660
94,6976,667,667
95,6720,674,674
96,7456,681,681
97,6656,688,688
98,6528,695,695
99,7104,702,702
100,7104,709,709
101,7424,716,716
102,7168,723,723
103,6880,730,730
104,7104,737,737
105,7328,744,744
106,7232,751,751
107,7168,758,758
108,6912,765,765
109,7232,772,772
110,7296,779,779
111,7744,786,786
112,7072,793,793
113,6880,800,800
114,7040,807,807
115,6976,814,814
116,7008,821,821
117,7424,828,828
118,7488,835,835
119,12128,842,842
120,5984,849,849
121,8128,856,856
122,9760,863,863
123,9888,870,870
124,8416,877,877
125,8448,884,884
126,19936,891,891
127,15936,898,898
128,9888,905,905
129,7552,912,912
130,7456,919,919
131,7584,926,926
132,7776,933,933
133,7488,940,940
134,8320,947,947
135,7584,954,954
136,7552,961,961
137,8768,968,968
138,7584,975,975
139,10304,982,982
140,7488,989,989
141,7904,996,996
142,7584,1003,1003
143,8064,1010,1010
144,7392,1017,1017
145,7872,1024,1024
146,7232,1031,1031
147,7712,1038,1038
148,8544,1045,1045
149,7424,1052,1052
150,10368,1059,1059
151,7168,1066,1066
152,7648,1073,1073
153,7520,1080,1080
154,7616,1087,1087
155,7680,1094,1094
156,7200,1101,1101
157,7744,1108,1108
158,7712,1115,1115
159,8704,1122,1122
160,7680,1129,1129
161,10592,1136,1136
162,7264,1143,1143
163,7808,1150,1150
164,7840,1157,1157
165,7872,1164,1164
166,7712,1171,1171
167,7776,1178,1178
168,7296,1185,1185
169,7648,1192,1192
170,9024,1199,1199
171,8000,1206,1206
172,10016,1213,1213
173,7648,1220,1220
174,7680,1227,1227
175,8704,1234,1234
176,7680,1241,1241
177,7904,1248,1248
178,7552,1255,1255
179,7520,1262,1262
180,8480,1269,1269
181,8736,1276,1276
182,7552,1283,1283
183,9760,1290,1290
184,7488,1297,1297
185,7744,1304,1304
186,7744,1311,1311
187,7872,1318,1318
188,7552,1325,1325
189,8640,1332,1332
190,7552,1339,1339
191,7712,1346,1346
192,8800,1353,1353
193,7456,1360,1360
194,8000,1367,1367
195,6912,1374,1374
196,6976,1381,1381
197,6624,1388,1388
198,7072,1395,1395
199,6720,1402,1402
200,7008,1409,1409
201,6976,1416,1416
202,7008,1423,1423
203,7104,1430,1430
204,7040,1437,1437
205,7808,1444,1444
206,6944,1451,1451
207,7040,1458,1458
208,6688,1465,1465
209,7520,1472,1472
210,6976,1479,1479
211,6944,1486,1486
212,6976,1493,1493
213,7072,1500,1500
214,7264,1507,1507
215,6752,1514,1514
216,7840,1521,1521
217,6752,1528,1528
218,6944,1535,1535
219,7232,1542,1542
220,7296,1549,1549
221,7168,1556,1556
222,7136,1563,1563
223,7232,1570,1570
224,7680,1577,1577
225,7200,1584,1584
226,6720,1591,1591
227,7840,1598,1598
228,7072,1605,1605
229,7008,1612,1612
230,6944,1619,1619
231,7072,1626,1626
232,7040,1633,1633
233,7104,1640,1640
234,6880,1647,1647
235,7072,1654,1654
236,7168,1661,1661
237,7008,1668,1668
238,7872,1675,1675
239,7424,1682,1682
240,7040,1689,1689
241,7040,1696,1696
242,6848,1703,1703
243,6656,1710,1710
244,7008,1717,1717
245,6848,1724,1724
246,6976,1731,1731
247,7232,1738,1738
248,6912,1745,1745
249,10208,1752,1752
250,7936,1759,1759
251,7456,1766,1766
252,7584,1773,1773
253,7744,1780,1780
254,7584,1787,1787
255,7616,1794,1794
256,7264,1801,1801
257,7712,1808,1808
258,8768,1815,1815
259,7456,1822,1822
260,7776,1829,1829
261,41088,1836,1836
262,10304,1843,1843
263,8096,1850,1850
264,8032,1857,1857
265,8544,1864,1864
266,7520,1871,1871
267,8576,1878,1878
268,7808,1885,1885
269,8768,1892,1892
270,8768,1899,1899
271,7104,1906,1906
272,7648,1913,1913
273,8768,1920,1920
274,6976,1927,1927
275,8544,1934,1934
276,6912,1941,1941
277,8704,1948,1948
278,12256,1955,1955
279,10144,1962,1962
280,9600,1969,1969
281,11296,1976,1976
282,13216,1983,1983
283,9920,1990,1990
284,10784,1997,1997
285,11328,2004,2004
286,11392,2011,2011
287,11232,2018,2018
288,10880,2025,2025
289,15168,2032,2032
290,15264,2039,2039
291,13312,2046,2046
292,16288,2053,2053
293,8192,2060,2060
294,7840,2067,2067
295,7424,2074,2074
296,7872,2081,2081
297,8480,2088,2088
298,7072,2095,2095
299,7712,2102,2102
300,8032,2109,2109
301,7936,2116,2116
302,7264,2123,2123
303,8032,2130,2130
304,8384,2137,2137
305,7904,2144,2144
306,7744,2151,2151
307,7488,2158,2158
308,7168,2165,2165
309,7136,2172,2172
310,6976,2179,2179
311,7232,2186,2186
312,7008,2193,2193
313,6912,2200,2200
314,7104,2207,2207
315,7584,2214,2214
316,7072,2221,2221
317,6944,2228,2228
318,6944,2235,2235
319,7168,2242,2242
320,6944,2249,2249
321,6976,2256,2256
322,7328,2263,2263
323,11392,2270,2270
324,9696,2277,2277
325,10080,2284,2284
326,13472,2291,2291
