HUD frame time nsec:,18118000

Range Index,Elapsed Time, First Event,Last Event
0,36832,8,8
1,19104,16,16
2,7008,23,23
3,9856,30,30
4,6880,37,37
5,33312,44,44
6,12960,51,51
7,8160,58,58
8,23040,65,65
9,74816,72,72
10,8736,79,79
11,7232,86,86
12,7296,93,93
13,8032,100,100
14,9024,107,107
15,8032,114,114
16,9088,121,121
17,8896,128,128
18,19648,135,135
19,6336,142,142
20,110208,149,149
21,13088,156,156
22,10752,163,163
23,10528,170,170
24,9344,177,177
25,9312,184,184
26,9440,191,191
27,9600,198,198
28,10336,205,205
29,9984,212,212
30,9504,219,219
31,9504,226,226
32,9216,233,233
33,9600,240,240
34,9952,247,247
35,9952,254,254
36,30560,261,261
37,13312,268,268
38,6400,275,275
39,6624,282,282
40,6944,289,289
41,6816,296,296
42,6336,303,303
43,6528,310,310
44,6496,317,317
45,6624,324,324
46,6496,331,331
47,6400,338,338
48,8928,345,345
49,8480,352,352
50,9184,359,359
51,8480,366,366
52,9184,373,373
53,8800,380,380
54,6528,387,387
55,6336,394,394
56,8736,401,401
57,8672,408,408
58,8064,415,415
59,8608,422,422
60,8224,429,429
61,6912,436,436
62,8896,443,443
63,9024,450,450
64,7872,457,457
65,8416,464,464
66,9024,471,471
67,44032,478,478
68,27872,485,485
69,7680,492,492
70,6784,499,499
71,7904,506,506
72,7808,513,513
73,6592,520,520
74,7616,527,527
75,7360,534,534
76,7360,541,541
77,7840,548,548
78,11936,555,555
79,6816,562,562
80,6528,569,569
81,6816,576,576
82,6752,583,583
83,7392,590,590
84,7840,597,597
85,7072,604,604
86,7328,611,611
87,7264,618,618
88,8000,625,625
89,6784,632,632
90,6400,639,639
91,6528,646,646
92,6720,653,653
93,6752,660,660
94,6400,667,667
95,6656,674,674
96,6496,681,681
97,6784,688,688
98,6720,695,695
99,7232,702,702
100,7168,709,709
101,7584,716,716
102,7168,723,723
103,6976,730,730
104,7232,737,737
105,7008,744,744
106,7168,751,751
107,7008,758,758
108,7552,765,765
109,7136,772,772
110,7072,779,779
111,7552,786,786
112,7072,793,793
113,7776,800,800
114,7296,807,807
115,7456,814,814
116,7200,821,821
117,7648,828,828
118,7168,835,835
119,11392,842,842
120,6528,849,849
121,8416,856,856
122,9760,863,863
123,10560,870,870
124,8320,877,877
125,8544,884,884
126,21120,891,891
127,15872,898,898
128,9728,905,905
129,7584,912,912
130,7680,919,919
131,7136,926,926
132,7456,933,933
133,7712,940,940
134,8256,947,947
135,7424,954,954
136,7616,961,961
137,8512,968,968
138,7424,975,975
139,9952,982,982
140,8128,989,989
141,7584,996,996
142,7424,1003,1003
143,8320,1010,1010
144,7520,1017,1017
145,7520,1024,1024
146,7552,1031,1031
147,7808,1038,1038
148,8736,1045,1045
149,7424,1052,1052
150,10432,1059,1059
151,7552,1066,1066
152,7808,1073,1073
153,7232,1080,1080
154,7552,1087,1087
155,7392,1094,1094
156,7520,1101,1101
157,7712,1108,1108
158,7584,1115,1115
159,8768,1122,1122
160,7488,1129,1129
161,10176,1136,1136
162,7584,1143,1143
163,7648,1150,1150
164,7808,1157,1157
165,7808,1164,1164
166,7776,1171,1171
167,8448,1178,1178
168,7648,1185,1185
169,7712,1192,1192
170,8672,1199,1199
171,7808,1206,1206
172,10016,1213,1213
173,7488,1220,1220
174,7712,1227,1227
175,7712,1234,1234
176,7616,1241,1241
177,7488,1248,1248
178,7712,1255,1255
179,7840,1262,1262
180,7584,1269,1269
181,8832,1276,1276
182,7872,1283,1283
183,9664,1290,1290
184,7424,1297,1297
185,7776,1304,1304
186,7520,1311,1311
187,7520,1318,1318
188,7776,1325,1325
189,8032,1332,1332
190,8256,1339,1339
191,8160,1346,1346
192,9248,1353,1353
193,7584,1360,1360
194,8352,1367,1367
195,7488,1374,1374
196,7392,1381,1381
197,7360,1388,1388
198,7520,1395,1395
199,7264,1402,1402
200,7648,1409,1409
201,7296,1416,1416
202,7616,1423,1423
203,7424,1430,1430
204,7040,1437,1437
205,8160,1444,1444
206,7296,1451,1451
207,7648,1458,1458
208,7136,1465,1465
209,7168,1472,1472
210,7552,1479,1479
211,7424,1486,1486
212,7328,1493,1493
213,7232,1500,1500
214,7360,1507,1507
215,7168,1514,1514
216,8800,1521,1521
217,7328,1528,1528
218,7520,1535,1535
219,7360,1542,1542
220,7456,1549,1549
221,7136,1556,1556
222,7392,1563,1563
223,7360,1570,1570
224,7136,1577,1577
225,7456,1584,1584
226,7328,1591,1591
227,8192,1598,1598
228,7200,1605,1605
229,7552,1612,1612
230,7264,1619,1619
231,7200,1626,1626
232,7232,1633,1633
233,7232,1640,1640
234,7232,1647,1647
235,25376,1654,1654
236,7008,1661,1661
237,7328,1668,1668
238,7904,1675,1675
239,6880,1682,1682
240,6944,1689,1689
241,6784,1696,1696
242,6848,1703,1703
243,7552,1710,1710
244,7072,1717,1717
245,7296,1724,1724
246,7200,1731,1731
247,7136,1738,1738
248,6720,1745,1745
249,10176,1752,1752
250,7936,1759,1759
251,7776,1766,1766
252,7712,1773,1773
253,7808,1780,1780
254,7648,1787,1787
255,8000,1794,1794
256,7392,1801,1801
257,7712,1808,1808
258,8448,1815,1815
259,7296,1822,1822
260,7264,1829,1829
261,46432,1836,1836
262,10240,1843,1843
263,7744,1850,1850
264,7584,1857,1857
265,8512,1864,1864
266,7936,1871,1871
267,8512,1878,1878
268,7840,1885,1885
269,8704,1892,1892
270,8704,1899,1899
271,7008,1906,1906
272,7040,1913,1913
273,9120,1920,1920
274,6976,1927,1927
275,8640,1934,1934
276,6912,1941,1941
277,8608,1948,1948
278,12384,1955,1955
279,9728,1962,1962
280,9664,1969,1969
281,11680,1976,1976
282,12896,1983,1983
283,10304,1990,1990
284,10848,1997,1997
285,10912,2004,2004
286,10816,2011,2011
287,11616,2018,2018
288,10848,2025,2025
289,15520,2032,2032
290,15552,2039,2039
291,14112,2046,2046
292,15968,2053,2053
293,8128,2060,2060
294,8224,2067,2067
295,7712,2074,2074
296,7808,2081,2081
297,7680,2088,2088
298,7104,2095,2095
299,7872,2102,2102
300,7648,2109,2109
301,8064,2116,2116
302,7360,2123,2123
303,8096,2130,2130
304,8000,2137,2137
305,7872,2144,2144
306,7904,2151,2151
307,8256,2158,2158
308,7232,2165,2165
309,6944,2172,2172
310,6912,2179,2179
311,7168,2186,2186
312,6976,2193,2193
313,6912,2200,2200
314,7072,2207,2207
315,7072,2214,2214
316,7616,2221,2221
317,6976,2228,2228
318,7136,2235,2235
319,7008,2242,2242
320,6912,2249,2249
321,7232,2256,2256
322,7104,2263,2263
323,10176,2270,2270
324,9632,2277,2277
