HUD frame time nsec:,23537000

Range Index,Elapsed Time, First Event,Last Event
0,26336,4,4
1,95840,24,24
2,20160,29,29
3,480,34,34
4,576,39,39
5,512,44,44
6,9216,63,63
7,6368,68,68
8,5312,72,72
9,28960,74,74
10,5920,109,109
11,512,127,127
12,512,145,145
13,512,163,163
14,41248,173,173
15,61056,188,188
16,24160,218,218
17,1653568,278,278
18,24128,282,282
19,345248,290,290
20,22336,295,295
21,1259072,334,334
22,188416,344,344
23,187648,352,352
24,9632,356,356
25,64064,365,365
26,6656,386,386
27,800,397,397
28,832,408,408
29,1024,419,419
30,640,430,430
31,512,441,441
32,800,452,452
33,512,463,463
34,800,474,474
35,512,485,485
36,512,496,496
37,512,507,507
38,544,518,518
39,512,529,529
40,544,540,540
41,480,551,551
42,480,562,562
43,512,573,573
44,480,584,584
45,512,595,595
46,512,606,606
47,576,617,617
48,512,628,628
49,512,639,639
50,512,650,650
51,480,661,661
52,576,672,672
53,512,683,683
54,480,694,694
55,480,705,705
56,512,716,716
57,576,727,727
58,512,738,738
59,512,749,749
60,512,760,760
61,512,771,771
62,512,782,782
63,512,793,793
64,512,804,804
65,512,815,815
66,4416,821,821
67,304704,838,838
68,9376,872,872
69,512,904,904
70,608,936,936
71,10784,961,961
72,704,979,979
73,1184,997,997
74,1792,1015,1015
75,768,1033,1033
76,3936,1051,1051
77,4224,1069,1069
78,2272,1087,1087
79,2336,1105,1105
80,1920,1123,1123
81,1696,1141,1141
82,13696,1159,1159
83,8192,1177,1177
84,4288,1195,1195
85,512,1213,1213
86,3712,1231,1231
87,2496,1249,1249
88,3008,1267,1267
89,1696,1285,1285
90,1984,1303,1303
91,512,1321,1321
92,3072,1339,1339
93,4832,1357,1357
94,5728,1375,1375
95,2240,1393,1393
96,512,1411,1411
97,544,1429,1429
98,544,1447,1447
99,512,1465,1465
100,544,1483,1483
101,512,1501,1501
102,512,1519,1519
103,576,1537,1537
104,512,1555,1555
105,576,1573,1573
106,480,1591,1591
107,512,1609,1609
108,544,1627,1627
109,544,1645,1645
110,512,1663,1663
111,512,1681,1681
112,480,1699,1699
113,544,1717,1717
114,544,1735,1735
115,512,1753,1753
116,512,1771,1771
117,512,1789,1789
118,512,1807,1807
119,576,1825,1825
120,512,1843,1843
121,512,1861,1861
122,512,1879,1879
123,512,1897,1897
124,512,1915,1915
125,576,1933,1933
126,576,1951,1951
127,512,1969,1969
128,512,1987,1987
129,512,2005,2005
130,512,2023,2023
131,480,2041,2041
132,480,2059,2059
133,576,2077,2077
134,512,2095,2095
135,512,2113,2113
136,512,2131,2131
137,544,2149,2149
138,544,2167,2167
139,512,2185,2185
140,512,2203,2203
141,512,2221,2221
142,20000,2239,2239
143,512,2257,2257
144,608,2275,2275
145,704,2293,2293
146,1344,2311,2311
147,544,2329,2329
148,736,2347,2347
149,512,2365,2365
150,512,2383,2383
151,512,2401,2401
152,512,2419,2419
153,640,2437,2437
154,640,2455,2455
155,672,2473,2473
156,544,2491,2491
157,896,2509,2509
158,512,2527,2527
159,736,2545,2545
160,544,2563,2563
161,704,2581,2581
162,608,2599,2599
163,544,2617,2617
164,960,2635,2635
165,800,2653,2653
166,768,2671,2671
167,704,2689,2689
168,864,2707,2707
169,1056,2725,2725
170,480,2746,2746
171,1651328,2750,2750
