HUD frame time nsec:,19299000

Range Index,Elapsed Time, First Event,Last Event
0,8384,9,9
1,94272,14,14
2,5312,18,18
3,22336,21,21
4,1568,41,41
5,2336,46,46
6,704,51,51
7,512,56,56
8,576,61,61
9,512,66,66
10,544,71,71
11,544,76,76
12,512,81,81
13,608,86,86
14,544,91,91
15,3840,96,96
16,512,101,101
17,832,106,106
18,544,111,111
19,896,116,116
20,736,121,121
21,1888,126,126
22,32576,131,131
23,30688,136,136
24,15072,141,141
25,12160,146,146
26,16128,151,151
27,5024,156,156
28,5088,161,161
29,7648,166,166
30,5792,171,171
31,512,176,176
32,768,181,181
33,512,186,186
34,512,191,191
35,544,196,196
36,45248,201,201
37,768,206,206
38,704,211,211
39,864,216,216
40,736,221,221
41,24800,226,226
42,704,231,231
43,576,236,236
44,576,241,241
45,544,246,246
46,512,251,251
47,512,256,256
48,544,261,261
49,704,266,266
50,512,271,271
51,10144,276,276
52,1120,281,281
53,512,286,286
54,544,291,291
55,512,296,296
56,512,301,301
57,512,306,306
58,2080,311,311
59,512,316,316
60,512,321,321
61,512,326,326
62,960,331,331
63,640,336,336
64,640,341,341
65,11712,346,346
66,4128,351,351
67,512,356,356
68,512,361,361
69,640,366,366
70,183680,371,371
71,544,376,376
72,576,381,381
73,512,386,386
74,576,391,391
75,576,396,396
76,1472,401,401
77,544,406,406
78,2400,411,411
79,544,416,416
80,512,421,421
81,512,426,426
82,21344,432,432
83,23488,465,465
84,544,479,479
85,640,493,493
86,544,507,507
87,544,521,521
88,512,535,535
89,512,549,549
90,576,563,563
91,480,577,577
92,512,591,591
93,544,605,605
94,512,619,619
95,1024,633,633
96,512,647,647
97,576,661,661
98,12416,675,675
99,4128,689,689
100,544,703,703
101,512,717,717
102,544,731,731
103,262080,745,745
104,544,759,759
105,960,773,773
106,544,787,787
107,512,801,801
108,1856,815,815
109,512,829,829
110,544,843,843
111,2080,857,857
112,544,871,871
113,544,885,885
114,512,899,899
115,65184,913,913
116,544,927,927
117,1728,941,941
118,512,955,955
119,2848,969,969
120,42368,983,983
121,608,997,997
122,512,1011,1011
123,512,1025,1025
124,2720,1039,1039
125,544,1053,1053
126,544,1067,1067
127,544,1081,1081
128,544,1095,1095
129,512,1109,1109
130,9888,1127,1127
131,5696,1137,1137
132,512,1155,1155
133,512,1165,1165
134,6592,1183,1183
135,2944,1193,1193
136,2944,1211,1211
137,3264,1221,1221
138,1248,1239,1239
139,768,1249,1249
140,768,1267,1267
141,864,1277,1277
142,1984,1295,1295
143,512,1305,1305
144,544,1323,1323
145,544,1333,1333
146,1952,1351,1351
147,896,1361,1361
148,9792,1379,1379
149,12192,1389,1389
150,8960,1407,1407
151,8320,1417,1417
152,1824,1435,1435
153,512,1445,1445
154,544,1463,1463
155,544,1473,1473
156,4128,1491,1491
157,2624,1501,1501
158,2912,1519,1519
159,2720,1529,1529
160,2304,1547,1547
161,544,1557,1557
162,544,1575,1575
163,896,1585,1585
164,544,1603,1603
165,832,1613,1613
166,5408,1635,1635
167,576,1657,1657
168,512,1679,1679
169,928,1701,1701
170,30240,1715,1715
171,27104,1721,1721
172,544,1727,1727
173,8160,1733,1733
174,8256,1739,1739
175,544,1745,1745
176,4896,1751,1751
177,6688,1757,1757
178,512,1763,1763
179,512,1777,1777
180,3904,1783,1783
181,608,1789,1789
182,512,1795,1795
183,1408,1801,1801
184,544,1807,1807
185,640,1813,1813
186,512,1819,1819
187,512,1825,1825
188,3104,1839,1839
189,5152,1845,1845
190,512,1851,1851
191,544,1857,1857
192,1760,1863,1863
193,512,1869,1869
194,832,1875,1875
195,512,1881,1881
196,512,1887,1887
197,2592,1901,1901
198,5152,1907,1907
199,544,1913,1913
200,608,1919,1919
201,1472,1925,1925
202,512,1931,1931
203,512,1937,1937
204,544,1943,1943
205,544,1949,1949
206,3168,1963,1963
207,5152,1969,1969
208,512,1975,1975
209,672,1981,1981
210,1344,1987,1987
211,704,1993,1993
212,512,1999,1999
213,864,2005,2005
214,512,2011,2011
215,2656,2025,2025
216,5120,2031,2031
217,512,2037,2037
218,640,2043,2043
219,1440,2049,2049
220,544,2055,2055
221,512,2061,2061
222,544,2067,2067
223,544,2073,2073
224,2752,2087,2087
225,5088,2093,2093
226,544,2099,2099
227,608,2105,2105
228,1440,2111,2111
229,576,2117,2117
230,544,2123,2123
231,512,2129,2129
232,480,2135,2135
233,3168,2149,2149
234,5152,2155,2155
235,480,2161,2161
236,640,2167,2167
237,1408,2173,2173
238,544,2179,2179
239,512,2185,2185
240,512,2191,2191
241,512,2197,2197
242,3232,2211,2211
243,5184,2217,2217
244,512,2223,2223
245,544,2229,2229
246,1184,2235,2235
247,512,2241,2241
248,512,2247,2247
249,544,2253,2253
250,512,2259,2259
251,20960,2265,2265
252,1733824,2325,2325
253,21792,2329,2329
254,306848,2337,2337
255,77376,2354,2354
256,22144,2360,2360
257,7987104,2398,2398
258,150880,2408,2408
259,152416,2416,2416
260,9792,2420,2420
261,91616,2429,2429
262,5536,2433,2433
263,5718336,2450,2450
264,1587008,2460,2460
