HUD frame time nsec:,34386000

Range Index,Elapsed Time, First Event,Last Event
0,9728,9,9
1,116480,14,14
2,6720,18,18
3,27904,21,21
4,18880,41,41
5,23936,46,46
6,8608,51,51
7,10976,56,56
8,17472,61,61
9,23712,66,66
10,1088,71,71
11,3616,76,76
12,104224,81,81
13,544,86,86
14,1056,91,91
15,544,96,96
16,608,101,101
17,544,106,106
18,131136,111,111
19,576,116,116
20,608,121,121
21,544,126,126
22,2784,131,131
23,67808,136,136
24,544,141,141
25,1408,146,146
26,512,151,151
27,8064,156,156
28,896,161,161
29,768,166,166
30,1856,171,171
31,544,176,176
32,544,181,181
33,12160,186,186
34,2464,191,191
35,544,196,196
36,2656,201,201
37,704,206,206
38,640,211,211
39,1024,216,216
40,13696,221,221
41,544,226,226
42,640,231,231
43,512,236,236
44,8032,241,241
45,1280,246,246
46,1344,251,251
47,13728,256,256
48,6080,261,261
49,736,266,266
50,992,271,271
51,544,276,276
52,359296,281,281
53,576,286,286
54,736,291,291
55,576,296,296
56,1216,301,301
57,576,306,306
58,5376,311,311
59,768,316,316
60,5248,321,321
61,576,326,326
62,576,331,331
63,608,336,336
64,28608,342,342
65,285952,373,373
66,608,385,385
67,241920,397,397
68,1728,409,409
69,1056,421,421
70,544,433,433
71,544,445,445
72,576,457,457
73,544,469,469
74,608,481,481
75,640,493,493
76,576,505,505
77,896,517,517
78,544,529,529
79,608,541,541
80,576,553,553
81,576,565,565
82,672,577,577
83,544,589,589
84,49440,601,601
85,736,613,613
86,576,625,625
87,928,637,637
88,4928,649,649
89,544,661,661
90,576,673,673
91,576,685,685
92,544,697,697
93,544,709,709
94,45504,721,721
95,544,733,733
96,832,745,745
97,544,757,757
98,864,769,769
99,576,781,781
100,864,793,793
101,768,805,805
102,736,817,817
103,608,829,829
104,800,841,841
105,544,853,853
106,928,865,865
107,672,877,877
108,11648,889,889
109,5472,901,901
110,768,913,913
111,608,925,925
112,42688,937,937
113,12384,949,949
114,33408,955,955
115,544,967,967
116,608,973,973
117,512,985,985
118,544,991,991
119,16864,1003,1003
120,21696,1009,1009
121,18400,1021,1021
122,16384,1027,1027
123,14848,1039,1039
124,15520,1045,1045
125,15072,1057,1057
126,14752,1063,1063
127,16704,1075,1075
128,17984,1081,1081
129,7072,1101,1101
130,512,1121,1121
131,576,1141,1141
132,576,1161,1161
133,26208,1167,1167
134,1608672,1227,1227
135,26304,1231,1231
136,385440,1239,1239
137,134816,1256,1256
138,44832,1262,1262
139,14728832,1300,1300
140,183552,1310,1310
141,183200,1318,1318
142,14176,1322,1322
