HUD frame time nsec:,16659000

Range Index,Elapsed Time, First Event,Last Event
0,27072,3,3
1,1728,23,23
2,2112,28,28
3,512,33,33
4,544,38,38
5,512,43,43
6,576,48,48
7,512,53,53
8,544,58,58
9,544,63,63
10,544,68,68
11,512,73,73
12,2624,78,78
13,544,83,83
14,832,88,88
15,800,93,93
16,1920,98,98
17,1792,103,103
18,1280,108,108
19,31744,113,113
20,31104,118,118
21,15264,123,123
22,11552,128,128
23,16928,133,133
24,5120,138,138
25,5120,143,143
26,7616,148,148
27,5344,153,153
28,544,158,158
29,576,163,163
30,672,168,168
31,512,173,173
32,480,178,178
33,512,183,183
34,480,188,188
35,512,193,193
36,42976,198,198
37,512,203,203
38,512,208,208
39,512,213,213
40,1280,218,218
41,28256,223,223
42,512,228,228
43,512,233,233
44,512,238,238
45,512,243,243
46,512,248,248
47,512,253,253
48,768,258,258
49,512,263,263
50,512,268,268
51,10432,273,273
52,2080,278,278
53,512,283,283
54,512,288,288
55,512,293,293
56,512,298,298
57,608,303,303
58,2080,308,308
59,512,313,313
60,512,318,318
61,512,323,323
62,1312,328,328
63,608,333,333
64,512,338,338
65,13184,343,343
66,3712,348,348
67,512,353,353
68,512,358,358
69,512,363,363
70,184928,368,368
71,512,373,373
72,512,378,378
73,512,383,383
74,544,388,388
75,544,393,393
76,1280,398,398
77,672,403,403
78,1856,408,408
79,512,413,413
80,896,418,418
81,544,423,423
82,25184,426,426
83,1600,446,446
84,2016,451,451
85,544,456,456
86,480,461,461
87,512,466,466
88,544,471,471
89,544,476,476
90,512,481,481
91,512,486,486
92,512,491,491
93,544,496,496
94,3104,501,501
95,576,506,506
96,512,511,511
97,672,516,516
98,2144,521,521
99,736,526,526
100,512,531,531
101,32800,536,536
102,28384,541,541
103,15104,546,546
104,5376,551,551
105,15168,556,556
106,5376,561,561
107,11552,566,566
108,12832,571,571
109,4864,576,576
110,704,581,581
111,1248,586,586
112,512,591,591
113,544,596,596
114,1312,601,601
115,512,606,606
116,928,611,611
117,768,616,616
118,32320,621,621
119,512,626,626
120,512,631,631
121,512,636,636
122,1312,641,641
123,25280,646,646
124,512,651,651
125,512,656,656
126,512,661,661
127,2016,666,666
128,512,671,671
129,544,676,676
130,608,681,681
131,512,686,686
132,512,691,691
133,7360,696,696
134,800,701,701
135,512,706,706
136,512,711,711
137,512,716,716
138,512,721,721
