HUD frame time nsec:,29950000

Range Index,Elapsed Time, First Event,Last Event
0,36768,8,8
1,15456,16,16
2,6624,23,23
3,8480,30,30
4,6432,37,37
5,6432,44,44
6,6496,51,51
7,7296,58,58
8,6400,65,65
9,6432,72,72
10,6528,79,79
11,6464,86,86
12,6560,93,93
13,7072,100,100
14,6944,107,107
15,7072,114,114
16,6560,121,121
17,8256,128,128
18,6592,135,135
19,6496,142,142
20,6528,149,149
21,6592,156,156
22,9536,163,163
23,6560,170,170
24,6400,177,177
25,6464,184,184
26,6688,191,191
27,6656,198,198
28,7968,205,205
29,11072,212,212
30,126496,219,219
31,7840,226,226
32,11488,233,233
33,6400,240,240
34,10560,247,247
35,6496,254,254
36,6432,261,261
37,30112,268,268
38,8160,275,275
39,6688,282,282
40,6464,289,289
41,7648,296,296
42,11104,303,303
43,6624,310,310
44,6368,317,317
45,6496,324,324
46,6464,331,331
47,29216,338,338
48,7968,345,345
49,7456,352,352
50,7552,359,359
51,6528,366,366
52,9888,373,373
53,7520,380,380
54,8128,387,387
55,6880,394,394
56,6432,401,401
57,6592,408,408
58,8960,415,415
59,6624,422,422
60,7296,429,429
61,6720,436,436
62,12128,443,443
63,303200,450,450
64,15712,464,464
65,29952,469,469
66,9920,473,473
67,7264,475,475
68,8448,496,496
69,7744,504,504
70,6464,512,512
71,6432,520,520
72,6400,528,528
73,6976,536,536
74,6464,544,544
75,6656,552,552
76,6528,560,560
77,6528,568,568
78,7296,576,576
79,6784,584,584
80,6368,592,592
81,6656,600,600
82,6560,608,608
83,7584,616,616
84,6528,624,624
85,6560,632,632
86,6656,640,640
87,6464,648,648
88,9088,656,656
89,7008,664,664
90,6560,672,672
91,6528,680,680
92,6528,688,688
93,6688,696,696
94,7840,704,704
95,10976,712,712
96,117824,720,720
97,8128,728,728
98,10208,736,736
99,6624,744,744
100,9248,752,752
101,6560,760,760
102,6592,768,768
103,29440,776,776
104,7936,784,784
105,6816,792,792
106,6528,800,800
107,7680,808,808
108,10016,816,816
109,6432,824,824
110,6432,832,832
111,6432,840,840
112,6816,848,848
113,29504,856,856
114,8320,864,864
115,7296,872,872
116,7808,880,880
117,7040,888,888
118,8704,896,896
119,120256,904,904
120,120736,912,912
121,120544,920,920
122,120736,928,928
123,120448,936,936
124,120864,944,944
125,120736,952,952
126,120640,960,960
127,120544,968,968
128,120608,976,976
129,120480,984,984
130,120704,992,992
131,120704,1000,1000
132,120512,1008,1008
133,120928,1016,1016
134,120768,1024,1024
135,120768,1032,1032
136,120480,1040,1040
137,120672,1048,1048
138,120448,1056,1056
139,120992,1064,1064
140,120832,1072,1072
141,120512,1080,1080
142,120928,1088,1088
143,120928,1096,1096
144,121024,1104,1104
145,120544,1112,1112
146,120704,1120,1120
147,120672,1128,1128
148,123040,1136,1136
149,120608,1144,1144
150,120352,1152,1152
151,120384,1160,1160
152,120736,1168,1168
153,120480,1176,1176
154,120416,1184,1184
155,120448,1192,1192
156,120544,1200,1200
157,120832,1208,1208
158,120704,1216,1216
159,120448,1224,1224
160,120352,1232,1232
161,120544,1240,1240
162,120736,1248,1248
