HUD frame time nsec:,14529000

Range Index,Elapsed Time, First Event,Last Event
0,38976,8,8
1,18688,16,16
2,7168,23,23
3,9408,30,30
4,7584,37,37
5,35936,44,44
6,13664,51,51
7,8544,58,58
8,23296,65,65
9,75840,72,72
10,9024,79,79
11,7680,86,86
12,7360,93,93
13,7872,100,100
14,8928,107,107
15,7872,114,114
16,8992,121,121
17,9248,128,128
18,20192,135,135
19,6176,142,142
20,111584,149,149
21,12768,156,156
22,10816,163,163
23,10400,170,170
24,9664,177,177
25,9408,184,184
26,9280,191,191
27,9920,198,198
28,10336,205,205
29,10272,212,212
30,9888,219,219
31,9600,226,226
32,9440,233,233
33,9472,240,240
34,9952,247,247
35,9920,254,254
36,31552,261,261
37,13152,268,268
38,7648,275,275
39,6336,282,282
40,6528,289,289
41,6400,296,296
42,6496,303,303
43,6560,310,310
44,6784,317,317
45,6592,324,324
46,6496,331,331
47,6624,338,338
48,8864,345,345
49,8384,352,352
50,8832,359,359
51,8384,366,366
52,9408,373,373
53,8576,380,380
54,6752,387,387
55,6848,394,394
56,8736,401,401
57,8960,408,408
58,7968,415,415
59,8672,422,422
60,8992,429,429
61,6464,436,436
62,8896,443,443
63,8704,450,450
64,8448,457,457
65,8480,464,464
66,9024,471,471
67,40160,478,478
68,29184,485,485
69,7616,492,492
70,6464,499,499
71,7712,506,506
72,7360,513,513
73,6624,520,520
74,7936,527,527
75,7648,534,534
76,7424,541,541
77,7264,548,548
78,12096,555,555
79,6464,562,562
80,6784,569,569
81,6432,576,576
82,7008,583,583
83,7232,590,590
84,7776,597,597
85,7776,604,604
86,7616,611,611
87,7712,618,618
88,7136,625,625
89,6944,632,632
90,7040,639,639
91,6688,646,646
92,6912,653,653
93,7872,660,660
94,6912,667,667
95,6752,674,674
96,6528,681,681
97,6784,688,688
98,6560,695,695
99,7200,702,702
100,7296,709,709
101,7392,716,716
102,7232,723,723
103,7072,730,730
104,7360,737,737
105,7008,744,744
106,7488,751,751
107,7072,758,758
108,7072,765,765
109,6848,772,772
110,6944,779,779
111,7296,786,786
112,6944,793,793
113,6944,800,800
114,7936,807,807
115,7360,814,814
116,7264,821,821
117,8448,828,828
118,7488,835,835
119,12256,842,842
120,6944,849,849
121,8640,856,856
122,9984,863,863
123,9856,870,870
124,8736,877,877
125,8608,884,884
126,20640,891,891
127,16576,898,898
128,10272,905,905
129,8192,912,912
130,8000,919,919
131,7680,926,926
132,7744,933,933
133,7648,940,940
134,8832,947,947
135,7808,954,954
136,8032,961,961
137,9088,968,968
138,7712,975,975
139,10400,982,982
140,8000,989,989
141,8000,996,996
142,7904,1003,1003
143,8192,1010,1010
144,7808,1017,1017
145,8288,1024,1024
146,7680,1031,1031
147,7904,1038,1038
148,8928,1045,1045
149,8064,1052,1052
150,10304,1059,1059
151,7808,1066,1066
152,8064,1073,1073
153,7904,1080,1080
154,7904,1087,1087
155,7648,1094,1094
156,8320,1101,1101
157,7584,1108,1108
158,8032,1115,1115
159,9088,1122,1122
160,7392,1129,1129
161,10592,1136,1136
162,7872,1143,1143
163,7808,1150,1150
164,7744,1157,1157
165,7712,1164,1164
166,7360,1171,1171
167,7968,1178,1178
168,7424,1185,1185
169,7456,1192,1192
170,8768,1199,1199
171,7520,1206,1206
172,10656,1213,1213
173,7712,1220,1220
174,7808,1227,1227
175,7488,1234,1234
176,7744,1241,1241
177,7264,1248,1248
178,7616,1255,1255
179,7520,1262,1262
180,7840,1269,1269
181,8640,1276,1276
182,7424,1283,1283
183,10080,1290,1290
184,7232,1297,1297
185,7808,1304,1304
186,7392,1311,1311
187,7680,1318,1318
188,7776,1325,1325
189,7808,1332,1332
190,7552,1339,1339
191,8064,1346,1346
192,8896,1353,1353
193,7392,1360,1360
194,8064,1367,1367
195,7456,1374,1374
196,7072,1381,1381
197,6720,1388,1388
198,6976,1395,1395
199,7040,1402,1402
200,7040,1409,1409
201,6912,1416,1416
202,6944,1423,1423
203,7136,1430,1430
204,7392,1437,1437
205,7936,1444,1444
206,6848,1451,1451
207,6880,1458,1458
208,6880,1465,1465
209,7040,1472,1472
210,6816,1479,1479
211,7072,1486,1486
212,7616,1493,1493
213,6912,1500,1500
214,7200,1507,1507
215,6720,1514,1514
216,7872,1521,1521
217,7200,1528,1528
218,7200,1535,1535
219,6816,1542,1542
220,7296,1549,1549
221,6912,1556,1556
222,7232,1563,1563
223,6976,1570,1570
224,7136,1577,1577
225,7136,1584,1584
226,6848,1591,1591
227,7904,1598,1598
228,6720,1605,1605
229,6976,1612,1612
230,7200,1619,1619
231,7104,1626,1626
232,6688,1633,1633
233,7040,1640,1640
234,6720,1647,1647
235,7424,1654,1654
236,7840,1661,1661
237,6784,1668,1668
238,7904,1675,1675
239,7168,1682,1682
240,7328,1689,1689
241,7104,1696,1696
242,6880,1703,1703
243,6976,1710,1710
244,7200,1717,1717
245,6848,1724,1724
246,7264,1731,1731
247,7264,1738,1738
248,6752,1745,1745
249,9952,1752,1752
250,7968,1759,1759
251,7680,1766,1766
252,7552,1773,1773
253,7712,1780,1780
254,7520,1787,1787
255,9760,1794,1794
256,7616,1801,1801
257,7744,1808,1808
258,8480,1815,1815
259,7616,1822,1822
260,7200,1829,1829
261,44768,1836,1836
262,9984,1843,1843
263,7904,1850,1850
264,7808,1857,1857
265,8320,1864,1864
266,7968,1871,1871
267,8608,1878,1878
268,7744,1885,1885
269,8896,1892,1892
270,9088,1899,1899
271,7168,1906,1906
272,7008,1913,1913
273,9472,1920,1920
274,6976,1927,1927
275,8448,1934,1934
276,6944,1941,1941
277,8608,1948,1948
278,11776,1955,1955
279,10176,1962,1962
280,9376,1969,1969
281,11392,1976,1976
282,13216,1983,1983
283,9856,1990,1990
284,10816,1997,1997
285,11680,2004,2004
286,11104,2011,2011
287,11136,2018,2018
288,509632,2025,2025
289,15744,2032,2032
290,15904,2039,2039
291,13920,2046,2046
292,15680,2053,2053
293,8032,2060,2060
294,7872,2067,2067
295,7648,2074,2074
296,8000,2081,2081
297,7936,2088,2088
298,6976,2095,2095
299,8000,2102,2102
300,8000,2109,2109
301,7904,2116,2116
302,7424,2123,2123
303,8000,2130,2130
304,9120,2137,2137
305,7872,2144,2144
306,7744,2151,2151
307,7488,2158,2158
308,7104,2165,2165
309,7104,2172,2172
310,6912,2179,2179
311,7136,2186,2186
312,7200,2193,2193
313,7168,2200,2200
314,6944,2207,2207
315,6944,2214,2214
316,6976,2221,2221
317,6880,2228,2228
318,7264,2235,2235
319,7072,2242,2242
320,6912,2249,2249
321,6912,2256,2256
322,7200,2263,2263
323,10368,2270,2270
324,9504,2277,2277
325,10144,2284,2284
326,14208,2291,2291
327,9568,2298,2298
328,9920,2305,2305
329,13504,2312,2312
330,12384,2319,2319
331,12832,2326,2326
332,14816,2333,2333
333,6240,2340,2340
334,5888,2347,2347
335,6048,2354,2354
336,7232,2361,2361
337,9472,2368,2368
338,7488,2375,2375
339,7904,2382,2382
340,8032,2389,2389
341,8160,2396,2396
342,7392,2403,2403
343,6560,2410,2410
344,6400,2417,2417
345,6592,2424,2424
346,8928,2431,2431
347,7584,2438,2438
348,8448,2445,2445
349,7936,2452,2452
350,7840,2459,2459
351,6368,2466,2466
352,6976,2473,2473
353,7104,2480,2480
354,6880,2487,2487
355,8800,2494,2494
356,7008,2501,2501
357,7296,2508,2508
358,7296,2515,2515
359,7040,2522,2522
360,6560,2529,2529
361,6816,2536,2536
362,7392,2543,2543
363,6880,2550,2550
364,8320,2557,2557
365,7040,2564,2564
366,7744,2571,2571
367,7296,2578,2578
368,7488,2585,2585
369,7072,2592,2592
370,9440,2599,2599
371,7008,2606,2606
372,9248,2613,2613
373,7200,2620,2620
374,9184,2627,2627
375,6752,2634,2634
376,10720,2641,2641
377,7072,2648,2648
378,8544,2655,2655
379,7488,2662,2662
380,9600,2669,2669
381,7424,2676,2676
382,9696,2683,2683
383,11040,2690,2690
384,10272,2697,2697
385,10304,2704,2704
386,10400,2711,2711
387,7904,2718,2718
388,8192,2725,2725
389,8320,2732,2732
390,8032,2739,2739
391,49856,2746,2746
392,8832,2753,2753
393,132448,2760,2760
394,46400,2767,2767
395,10368,2786,2786
396,337024,2795,2795
397,9888,2802,2802
398,33472,2804,2804
399,22432,2857,2857
400,15744,2893,2893
401,15680,2929,2929
402,9728,2965,2965
403,59328,2977,2977
404,36576,3013,3013
405,26880,3049,3049
406,38720,3085,3085
407,34656,3121,3121
408,15488,3157,3157
409,14208,3193,3193
410,13792,3229,3229
411,10496,3265,3265
412,16064,3301,3301
413,16224,3337,3337
414,14560,3373,3373
415,14976,3409,3409
416,37344,3445,3445
417,90016,3481,3481
418,127488,3517,3517
419,23968,3553,3553
420,14880,3589,3589
421,22368,3625,3625
422,16192,3661,3661
423,15456,3697,3697
424,14784,3733,3733
425,10912,3769,3769
426,10400,3805,3805
427,32416,3841,3841
428,18624,3877,3877
429,16000,3913,3913
430,14912,3949,3949
431,14432,3985,3985
432,14144,4021,4021
433,19232,4057,4057
434,19168,4093,4093
435,13920,4129,4129
436,11040,4165,4165
437,10848,4201,4201
438,9120,4237,4237
439,9792,4273,4273
440,9632,4309,4309
441,9472,4345,4345
442,9344,4381,4381
443,9664,4417,4417
444,9376,4453,4453
445,9440,4489,4489
446,10560,4525,4525
447,10432,4561,4561
448,10944,4597,4597
449,11040,4633,4633
450,9696,4669,4669
451,9792,4705,4705
452,9824,4741,4741
453,9792,4777,4777
454,11392,4813,4813
455,11168,4849,4849
456,10976,4885,4885
457,10944,4921,4921
458,10720,4957,4957
459,9312,4993,4993
460,10016,5029,5029
461,10688,5065,5065
462,10944,5101,5101
463,10848,5137,5137
464,11200,5173,5173
465,13696,5209,5209
466,15200,5245,5245
467,56128,5281,5281
468,19424,5317,5317
469,11264,5353,5353
470,11776,5389,5389
471,10528,5425,5425
472,11168,5461,5461
473,10304,5497,5497
474,12128,5533,5533
475,14336,5569,5569
476,17024,5605,5605
477,14144,5641,5641
478,10816,5677,5677
479,13920,5713,5713
480,13760,5749,5749
481,14080,5785,5785
482,14464,5821,5821
483,10816,5857,5857
484,10752,5893,5893
485,10688,5929,5929
486,13152,5965,5965
487,9600,6001,6001
488,9536,6037,6037
489,13952,6073,6073
490,13440,6109,6109
491,13952,6145,6145
492,13568,6181,6181
493,10144,6217,6217
494,9568,6253,6253
495,10208,6289,6289
496,9568,6325,6325
497,10944,6361,6361
498,10496,6397,6397
499,10816,6433,6433
500,13504,6469,6469
501,12000,6505,6505
502,11232,6541,6541
503,10592,6577,6577
504,10752,6613,6613
505,11008,6649,6649
506,11040,6685,6685
507,9568,6721,6721
508,9664,6757,6757
509,11104,6793,6793
510,10688,6829,6829
511,10976,6865,6865
512,10784,6901,6901
513,9952,6937,6937
514,9600,6973,6973
515,9888,7009,7009
516,9632,7045,7045
517,15392,7081,7081
518,13760,7117,7117
519,11776,7153,7153
520,9376,7189,7189
521,11264,7225,7225
522,11136,7261,7261
523,19904,7297,7297
524,26560,7333,7333
525,19360,7369,7369
526,18080,7405,7405
527,13952,7441,7441
528,13728,7477,7477
529,13856,7513,7513
530,13632,7549,7549
531,10784,7585,7585
532,13632,7621,7621
533,13664,7657,7657
534,13824,7693,7693
535,15360,7729,7729
536,14944,7765,7765
537,14144,7801,7801
538,10720,7837,7837
539,10528,7873,7873
540,10208,7909,7909
541,10592,7945,7945
542,13472,7981,7981
543,13696,8017,8017
544,10432,8053,8053
545,10912,8089,8089
546,13056,8125,8125
547,13024,8161,8161
548,14560,8197,8197
549,10720,8233,8233
550,10688,8269,8269
551,10880,8305,8305
552,10432,8341,8341
553,13632,8377,8377
554,13280,8413,8413
555,10592,8449,8449
556,10880,8485,8485
557,12896,8521,8521
558,13312,8557,8557
559,14976,8593,8593
560,13696,8629,8629
561,13600,8665,8665
562,10432,8701,8701
563,13504,8737,8737
564,11360,8773,8773
565,10464,8809,8809
566,13600,8845,8845
567,10336,8881,8881
568,13408,8917,8917
569,13600,8953,8953
570,18592,8989,8989
571,13376,9025,9025
572,13920,9061,9061
573,13664,9097,9097
574,10752,9133,9133
575,13600,9169,9169
576,13504,9205,9205
577,13440,9241,9241
578,13824,9277,9277
579,13984,9313,9313
580,14464,9349,9349
581,15872,9385,9385
582,10048,9421,9421
583,13472,9457,9457
584,14016,9493,9493
585,10528,9529,9529
586,13248,9565,9565
587,13888,9601,9601
588,14080,9637,9637
589,13728,9673,9673
590,13472,9709,9709
591,13312,9745,9745
592,11296,9781,9781
593,10528,9817,9817
594,10592,9853,9853
595,10336,9889,9889
596,10752,9925,9925
597,10336,9961,9961
598,10880,9997,9997
599,11136,10033,10033
600,10976,10069,10069
601,10624,10105,10105
602,10304,10141,10141
603,11264,10177,10177
604,10624,10213,10213
605,11008,10249,10249
606,10240,10285,10285
607,10688,10321,10321
608,10848,10357,10357
609,11168,10393,10393
610,10496,10429,10429
611,10208,10465,10465
612,10112,10501,10501
613,10432,10537,10537
614,13824,10573,10573
615,10432,10609,10609
616,10944,10645,10645
617,10592,10681,10681
618,10592,10717,10717
619,10560,10753,10753
620,11200,10789,10789
621,10496,10825,10825
622,10720,10861,10861
623,13248,10897,10897
624,13696,10933,10933
625,15648,10969,10969
626,13728,11005,11005
627,13408,11041,11041
628,13280,11077,11077
629,13440,11113,11113
630,10688,11149,11149
631,10592,11185,11185
632,10464,11221,11221
633,13856,11257,11257
634,13920,11293,11293
635,14144,11329,11329
636,12896,11365,11365
637,11040,11401,11401
638,11168,11437,11437
639,11296,11473,11473
640,11104,11509,11509
641,10720,11545,11545
642,11456,11581,11581
643,10592,11617,11617
644,11008,11653,11653
645,10784,11689,11689
646,11104,11725,11725
647,11648,11761,11761
648,11136,11797,11797
649,11008,11833,11833
650,10560,11869,11869
651,10944,11905,11905
652,10496,11941,11941
653,10976,11977,11977
654,11264,12013,12013
655,10784,12049,12049
656,10464,12085,12085
657,10944,12121,12121
658,11104,12133,12133
659,13728,12169,12169
660,10752,12205,12205
661,10624,12241,12241
662,10720,12277,12277
663,10912,12313,12313
664,10848,12349,12349
665,10944,12385,12385
666,10528,12421,12421
667,11488,12457,12457
668,10784,12493,12493
669,10784,12529,12529
670,10656,12565,12565
671,10976,12601,12601
672,10848,12637,12637
673,11232,12673,12673
674,11712,12709,12709
675,11680,12745,12745
676,17120,12781,12781
677,17888,12817,12817
678,13856,12853,12853
679,15808,12889,12889
680,13792,12925,12925
681,16800,12961,12961
682,15584,12997,12997
683,21216,13033,13033
684,18272,13069,13069
685,17728,13105,13105
686,14784,13141,13141
687,17440,13177,13177
688,17568,13213,13213
689,18400,13249,13249
690,19328,13285,13285
691,11488,13321,13321
692,11104,13357,13357
693,10080,13393,13393
694,10912,13429,13429
695,10656,13465,13465
696,9216,13501,13501
697,10496,13537,13537
698,10784,13573,13573
699,9216,13609,13609
700,10400,13645,13645
701,10496,13681,13681
702,9120,13717,13717
703,12320,13753,13753
704,11072,13789,13789
705,9248,13825,13825
706,10304,13861,13861
707,10816,13897,13897
708,10144,13933,13933
709,11456,13969,13969
710,11200,14005,14005
711,10368,14041,14041
712,13824,14077,14077
713,13696,14113,14113
714,9984,14149,14149
715,10144,14185,14185
716,10336,14221,14221
717,9824,14257,14257
