HUD frame time nsec:,16383000

Range Index,Elapsed Time, First Event,Last Event
0,36768,8,8
1,15328,16,16
2,6528,23,23
3,7616,30,30
4,6432,37,37
5,6528,44,44
6,6560,51,51
7,6976,58,58
8,6528,65,65
9,6464,72,72
10,6656,79,79
11,6784,86,86
12,6624,93,93
13,6656,100,100
14,6496,107,107
15,6720,114,114
16,6560,121,121
17,8160,128,128
18,6592,135,135
19,6592,142,142
20,6464,149,149
21,6720,156,156
22,10080,163,163
23,6464,170,170
24,6560,177,177
25,6528,184,184
26,6432,191,191
27,6496,198,198
28,7840,205,205
29,10848,212,212
30,125696,219,219
31,7840,226,226
32,11136,233,233
33,6560,240,240
34,10304,247,247
35,6432,254,254
36,6528,261,261
37,30048,268,268
38,7968,275,275
39,6400,282,282
40,6464,289,289
41,8000,296,296
42,11360,303,303
43,6720,310,310
44,6432,317,317
45,6400,324,324
46,6368,331,331
47,28800,338,338
48,8128,345,345
49,8032,352,352
50,7872,359,359
51,6528,366,366
52,9920,373,373
53,11840,380,380
54,289920,387,387
55,15264,406,406
56,30720,415,415
57,8608,419,419
58,25888,421,421
59,22336,450,450
60,268576,462,462
61,110400,474,474
62,108032,486,486
63,108064,498,498
64,107680,510,510
65,107936,522,522
66,111200,534,534
67,107840,546,546
68,107840,558,558
69,107936,570,570
70,107936,582,582
71,107680,594,594
72,107808,606,606
73,107776,618,618
74,107904,630,630
75,107712,642,642
76,107808,654,654
77,107968,666,666
78,108128,678,678
79,107872,690,690
80,107776,702,702
81,108096,714,714
82,107840,726,726
83,107904,738,738
84,108384,750,750
85,107936,762,762
86,107840,774,774
87,107904,786,786
88,107936,798,798
89,108064,810,810
90,108352,822,822
91,107936,834,834
92,108192,846,846
93,107872,858,858
94,107904,870,870
95,107744,882,882
96,108224,894,894
97,108160,906,906
98,108128,918,918
99,111872,930,930
100,107808,942,942
101,107776,954,954
102,107968,966,966
103,107936,978,978
104,107744,990,990
105,107744,1002,1002
106,107840,1014,1014
107,107776,1026,1026
108,107936,1038,1038
109,108096,1050,1050
110,107968,1062,1062
111,107488,1074,1074
112,107776,1086,1086
113,107776,1098,1098
114,107840,1110,1110
115,108128,1122,1122
116,107904,1134,1134
117,108096,1146,1146
118,107712,1158,1158
119,107904,1170,1170
120,107872,1182,1182
121,107904,1194,1194
122,107616,1206,1206
123,107872,1218,1218
124,107776,1230,1230
125,107872,1242,1242
126,108192,1254,1254
127,108000,1266,1266
128,107904,1278,1278
129,107840,1290,1290
130,107936,1302,1302
131,108160,1314,1314
132,107840,1326,1326
133,107904,1338,1338
134,107840,1350,1350
135,107744,1362,1362
136,107808,1374,1374
137,107712,1386,1386
138,107744,1398,1398
139,107808,1410,1410
140,107776,1422,1422
141,107744,1434,1434
142,107776,1446,1446
143,107968,1458,1458
144,108000,1470,1470
145,107776,1482,1482
146,107808,1494,1494
147,107872,1506,1506
148,107968,1518,1518
149,107840,1530,1530
150,107744,1542,1542
151,107968,1554,1554
152,108032,1566,1566
153,107840,1578,1578
154,107872,1590,1590
155,107680,1602,1602
156,107904,1614,1614
157,107776,1626,1626
158,107840,1638,1638
159,108000,1650,1650
160,108192,1662,1662
161,107840,1674,1674
162,107840,1686,1686
163,107648,1698,1698
164,107712,1710,1710
165,107744,1722,1722
166,107872,1734,1734
167,108128,1746,1746
168,108128,1758,1758
169,107968,1770,1770
170,107776,1782,1782
171,108160,1794,1794
172,108032,1806,1806
173,107872,1818,1818
174,107808,1830,1830
175,107968,1842,1842
176,107776,1854,1854
177,107712,1866,1866
178,107712,1878,1878
179,107872,1890,1890
180,107712,1902,1902
181,107776,1914,1914
182,107840,1926,1926
183,107616,1938,1938
184,107744,1950,1950
185,107936,1962,1962
186,107712,1974,1974
187,107840,1986,1986
188,107840,1998,1998
189,107936,2010,2010
190,107904,2022,2022
191,108032,2034,2034
192,108224,2046,2046
193,107840,2058,2058
194,107968,2070,2070
195,107968,2082,2082
196,107712,2094,2094
197,107968,2106,2106
198,108032,2118,2118
199,107808,2130,2130
200,107808,2142,2142
201,107680,2154,2154
202,108096,2166,2166
203,107680,2178,2178
204,110176,2190,2190
205,107904,2202,2202
206,107936,2214,2214
207,108192,2226,2226
208,108064,2238,2238
209,107968,2250,2250
210,107904,2262,2262
211,108032,2274,2274
212,107552,2286,2286
213,107840,2298,2298
214,107808,2310,2310
215,107808,2322,2322
216,107808,2334,2334
217,107744,2346,2346
218,108064,2358,2358
219,107904,2370,2370
220,108096,2382,2382
221,107808,2394,2394
222,107744,2406,2406
223,107680,2418,2418
224,108224,2430,2430
225,107488,2442,2442
226,107648,2454,2454
227,107808,2466,2466
228,107808,2478,2478
229,107616,2490,2490
230,107776,2502,2502
231,107808,2514,2514
232,107744,2526,2526
233,107520,2538,2538
234,107776,2550,2550
235,107904,2562,2562
236,107776,2574,2574
237,107968,2586,2586
238,108384,2598,2598
239,107872,2610,2610
240,107936,2622,2622
241,107872,2634,2634
242,107840,2646,2646
243,107968,2658,2658
244,107808,2670,2670
