HUD frame time nsec:,34378000

Range Index,Elapsed Time, First Event,Last Event
0,10592,9,9
1,114688,14,14
2,5664,18,18
3,25568,21,21
4,18528,41,41
5,24192,46,46
6,8032,51,51
7,9536,56,56
8,17920,61,61
9,21696,66,66
10,1792,71,71
11,3936,76,76
12,103072,81,81
13,544,86,86
14,800,91,91
15,576,96,96
16,608,101,101
17,544,106,106
18,133632,111,111
19,512,116,116
20,544,121,121
21,544,126,126
22,2656,131,131
23,65472,136,136
24,1120,141,141
25,544,146,146
26,832,151,151
27,7488,156,156
28,1376,161,161
29,896,166,166
30,800,171,171
31,544,176,176
32,640,181,181
33,12448,186,186
34,2080,191,191
35,1120,196,196
36,2208,201,201
37,544,206,206
38,544,211,211
39,512,216,216
40,11968,221,221
41,864,226,226
42,640,231,231
43,704,236,236
44,8224,241,241
45,1216,246,246
46,1440,251,251
47,13632,256,256
48,5664,261,261
49,864,266,266
50,1632,271,271
51,512,276,276
52,351712,281,281
53,800,286,286
54,512,291,291
55,704,296,296
56,1152,301,301
57,544,306,306
58,5408,311,311
59,544,316,316
60,5280,321,321
61,544,326,326
62,544,331,331
63,544,336,336
64,28480,342,342
65,296768,373,373
66,608,385,385
67,237536,397,397
68,1280,409,409
69,576,421,421
70,768,433,433
71,512,445,445
72,928,457,457
73,512,469,469
74,928,481,481
75,2176,493,493
76,512,505,505
77,1280,517,517
78,1280,529,529
79,1280,541,541
80,1312,553,553
81,1312,565,565
82,1312,577,577
83,1312,589,589
84,55552,601,601
85,1120,613,613
86,1312,625,625
87,1312,637,637
88,2080,649,649
89,576,661,661
90,512,673,673
91,1312,685,685
92,1408,697,697
93,544,709,709
94,38464,721,721
95,512,733,733
96,512,745,745
97,1280,757,757
98,1312,769,769
99,544,781,781
100,480,793,793
101,512,805,805
102,1312,817,817
103,1312,829,829
104,576,841,841
105,512,853,853
106,1280,865,865
107,480,877,877
108,7456,889,889
109,5952,901,901
110,1312,913,913
111,1344,925,925
112,41280,937,937
113,16096,949,949
114,20928,955,955
115,4768,967,967
116,3744,973,973
117,1344,985,985
118,1312,991,991
119,20832,1003,1003
120,20576,1009,1009
121,18176,1021,1021
122,16288,1027,1027
123,15616,1039,1039
124,15104,1045,1045
125,15360,1057,1057
126,15552,1063,1063
127,16032,1075,1075
128,17280,1081,1081
129,7936,1101,1101
130,1312,1121,1121
131,1312,1141,1141
132,1280,1161,1161
133,26336,1167,1167
134,1618784,1227,1227
135,25536,1231,1231
136,380864,1239,1239
137,112896,1256,1256
138,30272,1262,1262
139,14447616,1300,1300
140,182784,1310,1310
141,181280,1318,1318
142,15072,1322,1322
143,120992,1331,1331
144,5536,1335,1335
145,9558528,1352,1352
146,4423904,1362,1362
